Company,Product,Cpu,Ram,Memory,Gpu,Price_euros,Age_years,Condition_10,Battery_Health_%
Razer,Blade Pro,Intel Core i7 7820HK 2.9GHz,32GB,1TB SSD,Nvidia GeForce GTX 1080,6099.0,1,10,93
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,8GB,512GB SSD,Intel UHD Graphics 620,959.0,5,7,65
HP,Omen 17-W295,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1379.0,5,7,65
HP,Probook 470,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,1045.0,5,7,65
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1845.0,5,7,65
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,493.0,6,6,58
Acer,Aspire E5-576G,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 940MX,742.0,6,6,58
Lenovo,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1749.0,5,7,65
Dell,Precision 7520,Intel Xeon E3-1505M V6 3GHz,16GB,256GB SSD +  1TB HDD,Nvidia Quadro M1200,3055.0,4,8,72
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1060,1398.0,5,7,65
Dell,Inspiron 3567,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Intel HD Graphics 620,439.0,6,6,58
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1949.0,5,7,65
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1449.0,5,7,65
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,597.0,6,6,58
Acer,Aspire 7,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,779.0,5,7,65
Asus,ROG GL703VD-GC028T,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1407.0,5,7,65
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,349.0,6,6,58
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,549.0,6,6,58
Huawei,MateBook X,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,1499.0,5,7,65
Dell,Inspiron 5370,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,931.88,5,7,65
Lenovo,IdeaPad 320-17IKB,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 940MX,589.0,6,6,58
HP,Probook 440,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,1031.0,5,7,65
Dell,Latitude 5490,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1149.0,5,7,65
Dell,Inspiron 5379,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,1279.0,5,7,65
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 520,677.35,6,6,58
Lenovo,Yoga 520-14IKB,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,899.0,5,7,65
Toshiba,Portege Z30-C-16L,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,1363.0,5,7,65
HP,ProBook 450,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,794.0,5,7,65
Dell,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,2456.34,4,8,72
Acer,Aspire E5-576G,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,832.0,5,7,65
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16GB,1TB HDD,AMD Radeon R7 M445,859.01,5,7,65
Asus,Vivobook X541UV-DM1217T,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 920MX ,769.0,5,7,65
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,891.0,5,7,65
HP,ZBook 15u,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD FirePro W4190M ,1269.0,5,7,65
Asus,Pro P2540UA-XO0198T,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,398.99,6,6,58
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),AMD E-Series 9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,330.0,6,6,58
Lenovo,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1499.0,5,7,65
Dell,Vostro 5468,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,859.0,5,7,65
Acer,Aspire R7,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,689.0,6,6,58
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon R7 M445,899.0,5,7,65
Acer,Aspire A315-51,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,390.0,6,6,58
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,575.0,6,6,58
Asus,ROG G703VI-E5062T,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080,3890.0,3,8,79
Acer,Nitro AN515-51,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,846.0,5,7,65
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,8GB,128GB SSD,Intel HD Graphics 520,589.0,6,6,58
Asus,VivoBook Pro,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 150MX,1145.0,5,7,65
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Intel Core i7 7500U 2.7GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 950M,889.0,5,7,65
Dell,Inspiron 5577,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,879.0,5,7,65
Lenovo,Yoga 910-13IKB,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1079.0,5,7,65
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,985.0,5,7,65
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,559.0,6,6,58
Asus,Rog G701VIK-BA060T,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD,Nvidia GeForce GTX 1080,2999.0,4,8,72
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,675.0,6,6,58
Apple,MacBook Pro,Intel Core i5 3.1GHz,8GB,512GB SSD,Intel Iris Plus Graphics 650,2040.0,4,8,72
Dell,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,819.0,5,7,65
Asus,ROG G752VSK-GC493T,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,1799.0,5,7,65
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5 M420,469.0,6,6,58
Lenovo,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,1849.0,5,7,65
Acer,Aspire 5,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Nvidia GeForce MX130,702.0,6,6,58
Dell,Vostro 5370,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,949.0,5,7,65
HP,15-BW094nd (A6-9220/8GB/128GB/W10),AMD A6-Series A6-9220 2.5GHz,8GB,128GB SSD,AMD Radeon R4 Graphics,445.9,6,6,58
HP,Envy 17-U275cl,Intel Core i7 8550U 1.8GHz,16GB,1TB HDD,Nvidia GeForce MX150,1059.0,5,7,65
MSI,GT73EVR 7RE,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2499.0,4,8,72
Lenovo,Yoga 720-15IKB,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia GeForce GTX 1050M,1699.0,5,7,65
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,1142.0,5,7,65
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,444.0,6,6,58
HP,ProBook 450,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 620,722.0,6,6,58
Dell,Vostro 3568,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,657.0,6,6,58
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R5 M430,565.0,6,6,58
Dell,Inspiron 5579,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,799.0,5,7,65
Asus,ZenBook Flip,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Intel UHD Graphics 620,1499.0,5,7,65
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,467.0,6,6,58
HP,Probook 470,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce 930MX ,1018.0,5,7,65
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,880.0,5,7,65
Apple,MacBook Pro,Intel Core i5 2.9GHz,8GB,512GB SSD,Intel Iris Graphics 550,1958.9,4,8,72
Asus,Rog Strix,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,1549.0,5,7,65
Dell,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,735.07,6,6,58
Lenovo,ThinkPad X1,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Intel HD Graphics 520,2499.0,4,8,72
Toshiba,Satellite Pro,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,Nvidia GeForce 930M,812.0,5,7,65
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,713.07,6,6,58
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,1099.0,5,7,65
Acer,Aspire A515-51G,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce MX130,745.0,6,6,58
Lenovo,IdeaPad 320-17ISK,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,489.0,6,6,58
Lenovo,IdeaPad 320-17IKBR,Intel Core i7 8550U 1.8GHz,8GB,2TB HDD,Nvidia GeForce MX150,849.0,5,7,65
Lenovo,IdeaPad 320-17IKB,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,859.0,5,7,65
Dell,Inspiron 3567,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,428.0,6,6,58
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,829.0,5,7,65
Lenovo,Ideapad 320-15IKBN,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Intel HD Graphics 620,579.0,6,6,58
Acer,Aspire A517-51G,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,951.0,5,7,65
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,659.0,6,6,58
Lenovo,Thinkpad T570,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 630,1097.0,5,7,65
Asus,VivoBook S15,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,977.0,5,7,65
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,1179.0,5,7,65
Lenovo,IdeaPad 320-15IKB,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 940MX,659.01,6,6,58
Acer,Chromebook C910-C2ST,Intel Celeron Dual Core 3205U 1.5GHz,2GB,16GB SSD,Intel HD Graphics,199.0,6,6,58
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,1187.0,5,7,65
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,489.0,6,6,58
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,1829.0,5,7,65
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,739.0,6,6,58
Lenovo,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1060,1299.0,5,7,65
Acer,Aspire A715-71G,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,979.0,5,7,65
Dell,Precision 7720,Intel Core i7 7820HQ 2.9GHz,16GB,256GB SSD,Nvidia Quadro M1200,2884.86,4,8,72
Lenovo,IdeaPad 310-15ABR,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,AMD Radeon R5 430,499.0,6,6,58
Asus,ZenBook UX530UQ-PRO,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Nvidia GeForce 940MX,1468.0,5,7,65
Asus,VivoBook S14,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,509.0,6,6,58
Asus,Rog GL702VS-GC095T,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2122.0,4,8,72
Lenovo,IdeaPad 320-17IKB,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Nvidia GeForce GTX 940M,649.0,6,6,58
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Nvidia GeForce 940MX,549.0,6,6,58
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,1265.0,5,7,65
Lenovo,IdeaPad 320-15IAP,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,359.99,6,6,58
HP,EliteBook x360,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Intel HD Graphics 620,1975.0,4,8,72
Toshiba,Satellite Pro,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930M,1043.0,5,7,65
Lenovo,IdeaPad 320-15IKB,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,819.0,5,7,65
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,469.0,6,6,58
Lenovo,IdeaPad 720S-13IKB,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,999.0,5,7,65
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,2499.0,4,8,72
MSI,GE63VR 7RF,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2099.0,4,8,72
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,AMD Radeon R5,469.0,6,6,58
Asus,VivoBook Flip,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,275.0,6,6,58
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,844.0,5,7,65
HP,Spectre x360,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,2449.0,4,8,72
Lenovo,ThinkPad 13,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 510,459.9,6,6,58
HP,ProBook 640,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,980.0,5,7,65
Acer,TravelMate B,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Intel HD Graphics 405,485.0,6,6,58
HP,Elitebook 840,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1292.0,5,7,65
Lenovo,IdeaPad 320-17IKB,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 920MX,589.0,6,6,58
Asus,ZenBook UX410UA-GV183T,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1094.0,5,7,65
HP,ProBook 450,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,902.0,5,7,65
Acer,Aspire 5,AMD A12-Series 9720P 2.7GHz,8GB,256GB SSD,AMD Radeon RX 540,659.0,6,6,58
Lenovo,IdeaPad 120S-14IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,292.0,6,6,58
Acer,Aspire E5-575,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,549.0,6,6,58
Asus,VivoBook S15,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,1049.9,5,7,65
HP,Elitebook 820,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1335.0,5,7,65
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD,Nvidia GeForce GTX 1050,2639.0,4,8,72
MSI,GL72M 7REX,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,1199.0,5,7,65
Toshiba,Satellite Pro,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,943.0,5,7,65
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,1334.0,5,7,65
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,449.0,6,6,58
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,999.0,5,7,65
HP,EliteBook 840,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,1268.0,5,7,65
Dell,Inspiron 7570,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,1049.0,5,7,65
HP,Elitebook 850,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1144.0,5,7,65
Asus,X541NA (N3350/4GB/1TB/Linux),Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,274.99,6,6,58
Dell,Inspiron 7570,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 940MX,1142.75,5,7,65
Dell,Inspiron 3552,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics,274.9,6,6,58
Lenovo,IdeaPad 320-15ABR,AMD A12-Series 9720P 3.6GHz,12GB,2TB HDD,AMD Radeon 530,899.0,5,7,65
HP,ProBook 450,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 930MX ,716.0,6,6,58
Lenovo,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,2099.0,4,8,72
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1579.0,5,7,65
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,1129.0,5,7,65
HP,Stream 14-AX001nv,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,279.0,6,6,58
Dell,Latitude 5590,Intel Core i7 8650U 1.9GHz,16GB,512GB SSD +  256GB SSD,Intel UHD Graphics 620,1607.96,5,7,65
Asus,VivoBook Flip,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,375.0,6,6,58
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 530,663.0,6,6,58
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,2027.42,4,8,72
HP,Elitebook 850,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1304.0,5,7,65
MSI,GP72MVR 7RFX,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1409.0,5,7,65
HP,Zbook 15,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,1738.27,5,7,65
Toshiba,Tecra A50-C-21G,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Nvidia GeForce 930M,1403.0,5,7,65
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,970.9,5,7,65
Lenovo,IdeaPad 320-15IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,321.99,6,6,58
Dell,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,999.0,5,7,65
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,557.37,6,6,58
Dell,Latitude 7480,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,1427.0,5,7,65
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,439.0,6,6,58
Asus,Zenbook UX410UA-GV027T,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,945.0,5,7,65
Lenovo,IdeaPad 320-17IKB,Intel Core i5 7200U 2.5GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,719.0,6,6,58
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,639.0,6,6,58
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Nvidia GeForce 920MX ,499.0,6,6,58
HP,15-AY023na (N3710/8GB/2TB/W10),Intel Pentium Quad Core N3710 1.6GHz,8GB,2TB HDD,Intel HD Graphics 405,389.0,6,6,58
Dell,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,1085.0,5,7,65
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,809.0,5,7,65
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R7 M445,899.0,5,7,65
HP,Elitebook 1040,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1750.0,5,7,65
Asus,ZenBook Flip,Intel Core i7 7500U 2.7GHz,12GB,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,1099.0,5,7,65
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,128GB SSD,AMD Radeon R5,426.0,6,6,58
Asus,Rog Strix,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,2199.0,4,8,72
Lenovo,IdeaPad 110-17ACL,AMD A8-Series 7410 2.2GHz,4GB,128GB SSD,AMD Radeon R5,489.0,6,6,58
Dell,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,869.01,5,7,65
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon R5,488.99,6,6,58
Lenovo,Yoga 11e,Intel Celeron Quad Core N3450 1.1GHz,4GB,128GB SSD,Intel HD Graphics 500,553.0,6,6,58
Dell,Inspiron 3552,Intel Celeron Dual Core N3060 1.60GHz,4GB,500GB HDD,Intel HD Graphics 400,309.0,6,6,58
Asus,VivoBook E403NA,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,286.0,6,6,58
Acer,Aspire 7,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,846.0,5,7,65
HP,Omen 17-w212nv,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1191.0,5,7,65
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,403.5,6,6,58
Asus,ROG Strix,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1655.0,5,7,65
Lenovo,IdeaPad 720S-14IKB,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,1099.0,5,7,65
Asus,Zenbook Flip,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,1748.9,5,7,65
Lenovo,Thinkpad X1,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,2282.0,4,8,72
Lenovo,Ideapad 510S-13IKB,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,549.0,6,6,58
Dell,Precision 3510,Intel Core i5 6440HQ 2.6GHz,8GB,500GB HDD,AMD FirePro W5130M,1369.0,5,7,65
